,Laptop,Status,Brand,Model,CPU,RAM,Storage,Storage type,GPU,Screen,Touch,Final Price,price,usage Gaming and Design,usage Engineering,usage desk work,url
1082,"HP Victus 16-E0069NS AMD Ryzen 5 5600H/8GB/512GB SSD/GTX 1650/16.1""",New,HP,Victus,AMD Ryzen 5,8,512,SSD,GTX 1650,16.1,No,2620.9880000000003,Medium,True,True,True,https://i.ebayimg.com/thumbs/images/g/qhkAAOSwCpVlegGu/s-l300.jpg
1083,MSI Katana 17 B13VFK-439PT Intel Core i7-13620H/16GB/1TB SSD/RTX 4060/17.3'' (PT),New,MSI,Katana,Intel Core i7,16,1000,SSD,RTX 4060,17.3,No,5976.304,High,True,True,True,https://i.ebayimg.com/thumbs/images/g/SE4AAOSwRcJlJo87/s-l300.jpg
1084,"ASUS F415EA-EK1464 Intel Core i3-1115G4/8GB/256GB SSD/14""",New,Asus,F415EA,Intel Core i3,8,256,SSD,,14.0,No,1462.053,Low,False,False,True,https://i.ebayimg.com/thumbs/images/g/XLsAAOSwKihlUBqj/s-l225.jpg
1085,"ASUS VivoBook F515EA-BQ3013W Intel Core i5-1135G7/8GB/512GB/15.6""",New,Asus,VivoBook,Intel Core i5,8,512,,,15.6,No,1633.7,Medium,False,False,True,https://i.ebayimg.com/thumbs/images/g/iaQAAOSwxbFlFZEb/s-l300.jpg
1086,"Dell Latitude 5430 Intel Core i5-1235U/8GB/256GB SSD/14""",New,Dell,Latitude,Intel Core i5,8,256,SSD,,14.0,No,3200.3780000000006,High,False,False,True,https://i.ebayimg.com/thumbs/images/g/RMgAAOSwttdkiffs/s-l300.jpg
1087,"Lenovo IdeaPad 5 14ALC05 AMD Ryzen 5 5500U/16GB/512 GB SSD/14""",New,Lenovo,IdeaPad,AMD Ryzen 5,16,512,SSD,,14.0,No,2321.9,Medium,True,True,True,https://i.ebayimg.com/thumbs/images/g/I1QAAOSwSAFlcIQ~/s-l300.jpg
1088,"Lenovo V15 G2 ALC AMD Ryzen 5 5500U/8 GB/512GB SSD/15.6""",New,Lenovo,V15,AMD Ryzen 5,8,512,SSD,,15.6,No,1360.9,Low,True,True,True,https://i.ebayimg.com/thumbs/images/g/TGMAAOSwenRlWkiJ/s-l300.jpg
1089,"Lenovo V15 G3 IAP Intel Core i7-1255U/16GB/512GB SSD/15.6""",New,Lenovo,V15,Intel Core i7,16,512,SSD,,15.6,No,2883.744,Medium,False,True,True,https://i.ebayimg.com/thumbs/images/g/4gIAAOSwaQhkl6gt/s-l300.jpg
1090,"MSI Katana GF66 12UGS-665XES Intel Core i7-12700H/32GB/1TB SSD/RTX3070Ti/15.6""",Refurbished,MSI,Katana,Intel Core i7,32,1000,SSD,RTX 3070,15.6,No,5886.900000000001,High,True,True,True,https://i.ebayimg.com/thumbs/images/g/2NMAAOSwsgplgjBO/s-l225.jpg
1091,"ASUS ExpertBook B1 B1500CEAE-EJ2824X Intel Core i5-1135G7/8GB/512GB SSD/15.6""",New,Asus,ExpertBook,Intel Core i5,8,512,SSD,,15.6,No,2148.3,Medium,False,False,True,https://i.ebayimg.com/thumbs/images/g/sv0AAOSwJUFkPOvS/s-l225.jpg
